"ID","admin","age","sex","zone","gang","family","other","risk"
"Foothill-14-449-1",2,21,2,5,NA,NA,NA,-4.907778024
"Foothill-14-451-1",2,18,1,5,NA,2.424712084,NA,-3.69734782
"Harbor-21-150-1",2,21,1,6,-0.61054301,3.251961756,0.436053131,-1.405464348
"Harbor-21-160-2",2,25,2,6,-2.896117936,3.666909915,1.893749111,-4.329781489
"Harbor-21-162-2",2,18,1,6,-3.376196944,-5.632960978,NA,-3.751784954
"Harbor-21-164-1",2,15,1,6,1.094760302,1.371723561,NA,1.108336117
"Harbor-21-167-2",2,23,1,6,-1.481667294,0.687775283,NA,-2.956039882
"Harbor-21-168-2",2,25,2,6,-0.628053834,2.233730184,NA,-1.800046812
"Harbor-21-169-2",2,21,1,6,-1.548027573,-0.454753589,2.093337539,-2.08904508
"Harbor-21-171-1",2,19,2,6,-2.685073653,0.934640535,-0.243691725,-1.800046812
"Harbor-21-176-2",2,17,1,6,0.878843862,3.11018518,-0.17056363,-1.167613143
"Harbor-21-179-1",2,19,2,6,1.051846236,-0.194556845,NA,-1.800046812
"Harbor-21-182-1",2,15,2,6,-0.915641656,-3.093205349,NA,-0.210968356
"Harbor-21-184-2",2,22,1,6,1.86241467,-0.525800193,NA,-0.421949439
"Harbor-21-189-2",2,23,2,6,-1.529820752,3.390209176,NA,-1.925733677
"Harbor-21-194-1",2,17,1,6,-0.914506714,-1.650507364,-0.378368202,0.167652719
"Harbor-21-196-1",2,17,1,6,1.29547772,4.743458778,0.820555954,-1.617483949
"Harbor-21-198-1",2,20,2,6,-1.516321708,1.400992351,1.068139922,-2.956039882
"Harbor-21-199-1",2,17,1,6,2.725443684,3.930651506,NA,0.652039485
"Harbor-21-203-1",2,27,2,6,-3.252010603,1.566860665,NA,-3.010477016
"Harbor-21-205-1",2,25,2,6,-3.175538775,2.318717192,NA,-2.956039882
"Harbor-21-206-1",2,20,1,6,1.714874787,1.915259462,NA,-1.113176009
"Harbor-21-207-1",2,17,1,6,-0.062285246,0.994617679,1.297590875,0.723107721
"Harbor-21-209-1",2,25,1,6,-0.6499052,-2.055070479,0.871673003,-3.751784954
"Harbor-21-220-1",2,18,1,6,NA,2.416043765,NA,-2.956039882
"Harbor-21-221-1",2,22,1,6,NA,3.493874826,NA,-2.956039882
"Harbor-21-223-1",2,18,1,6,NA,NA,NA,-1.468217033
"Harbor-21-224-1",2,21,1,6,NA,-3.534121818,NA,-2.956039882
"Harbor-21-226-1",2,19,1,6,NA,0.030296224,NA,-1.800046812
"Harbor-21-228-1",2,26,2,6,NA,2.965936318,NA,-2.956039882
"Harbor-21-229-1",2,23,1,6,NA,-1.107955348,NA,-1.511048545
"Harbor-21-234-1",2,23,1,6,NA,3.269185832,NA,-2.667041615
"Harbor-21-235-1",2,23,1,6,NA,-6.103434623,NA,-0.282218087
"Harbor-21-237-1",2,21,1,6,NA,1.089717701,NA,-3.69734782
"Harbor-21-238-1",2,18,1,6,NA,2.030977686,NA,-4.220907221
"Harbor-21-239-1",2,23,2,6,NA,1.117444125,NA,-4.907778024
"Harbor-21-240-1",2,21,2,6,NA,-0.844164536,NA,-2.432480481
"Harbor-21-242-1",2,23,1,6,NA,1.740819904,NA,-2.956039882
"Hollenbeck 1-20-101-2",2,16,1,7,NA,1.329917298,-0.395407219,NA
"Hollenbeck 1-20-103-2",2,17,1,7,NA,1.801007302,-2.45971996,-1.745609678
"Hollenbeck 1-20-104-3",2,17,1,7,NA,5.829582772,NA,-2.956039882
"Hollenbeck 1-20-105-4",2,23,1,7,NA,-3.431441288,NA,-3.353912418
"Hollenbeck 1-20-111-2",2,23,1,7,NA,1.062147702,-0.871563009,-4.907778024
"Hollenbeck 1-20-112-2",2,15,1,7,0.595339532,-0.867758021,4.423908916,-1.402174276
"Hollenbeck 1-20-115-3",2,16,1,7,3.400650997,1.983427289,NA,4.438353127
"Hollenbeck 1-20-116-2",2,18,1,7,-7.33766016,-0.106855316,NA,-2.956039882
"Hollenbeck 1-20-122-2",2,15,1,7,2.949291014,4.045046738,NA,-0.534997979
"Hollenbeck 1-20-123-2",2,18,1,7,-2.195519842,0.617226547,NA,-4.51319556
"Hollenbeck 1-20-130-2",2,17,1,7,-1.803837819,3.45108282,NA,2.834894371
"Hollenbeck 1-20-131-2",2,17,1,7,2.164370411,-0.981634768,-0.770208041,-2.197919348
"Hollenbeck 1-20-136-2",2,17,1,7,2.201256418,-1.075973713,-1.255459107,-1.600671352
"Hollenbeck 1-20-139-2",2,15,2,7,4.438770556,6.692938205,NA,-2.595791884
"Hollenbeck 1-20-140-2",2,15,1,7,-4.172169682,3.476416166,NA,-2.956039882
"Hollenbeck 1-20-147-2",2,18,1,7,0.663716088,2.426898045,0.411677099,-1.331775753
"Hollenbeck 1-20-150-2",2,19,1,7,-3.716358973,NA,-1.665823818,-1.113176009
"Hollenbeck 1-20-160-2",2,16,2,7,NA,-3.924786717,NA,0.924922046
"Hollenbeck 1-20-177-2",2,17,1,7,5.65584034,0.701259948,NA,5.492754777
"Hollenbeck 1-20-183-2",2,15,2,7,3.875292811,2.582785334,NA,2.205750773
"Hollenbeck 1-20-184-2",2,17,2,7,NA,-0.087143513,1.328547398,1.772692564
"Hollenbeck 1-20-186-2",2,17,1,7,NA,0.190808935,NA,-2.604107435
"Hollenbeck 1-20-191-2",2,17,2,7,NA,-3.037725446,NA,1.900791117
"Hollenbeck 1-20-193-2",2,15,1,7,NA,-4.004841361,-3.289544656,-2.323606213
"Hollenbeck 1-20-217-2",2,17,1,7,NA,2.54708586,NA,-3.010477016
"Hollenbeck 1-20-228-2",2,33,1,7,NA,-1.066590286,NA,-2.667041615
"Hollenbeck 1-20-243-1",2,18,2,7,NA,-4.157865537,NA,-4.329781489
"Hollenbeck 1-20-244-1",2,19,2,7,NA,-9.186087348,NA,-4.329781489
"Hollenbeck 1-20-368-2",2,17,2,7,NA,-1.854544533,NA,-3.24503815
"Hollenbeck 1-20-44-2",2,21,1,7,3.361474146,-1.223721839,NA,1.865605444
"Hollenbeck 1-20-59-2",2,17,2,7,-0.041754162,0.853860498,NA,2.061663655
"Hollenbeck 1-20-64-2",2,17,1,7,-2.936615068,3.321253884,NA,-1.459901482
"Hollenbeck 1-20-76-3",2,18,1,8,NA,-5.227483219,NA,1.596012955
"Hollenbeck 1-20-77-3",2,17,2,7,-1.168064407,0.366696236,NA,-2.378043347
"Hollenbeck 1-20-80-3",2,19,1,7,NA,NA,0.249503082,-3.751784954
"Hollenbeck 1-20-98-2",2,17,1,7,-1.565386478,3.742134859,NA,-4.329781489
"Hollenbeck 2-20-10-3",2,17,2,8,NA,2.565493201,NA,-1.983460883
"Hollenbeck 2-20-100-2",2,22,2,8,NA,6.002841748,NA,-3.534036417
"Hollenbeck 2-20-114-2",2,19,1,8,-0.459830947,2.523877863,NA,-2.08904508
"Hollenbeck 2-20-119-2",2,19,1,8,NA,-0.865607542,NA,1.811168309
"Hollenbeck 2-20-132-2",2,24,1,8,NA,2.883963922,3.650537965,2.892621577
"Hollenbeck 2-20-145-2",2,20,1,8,NA,3.923214279,1.416349525,-1.437359949
"Hollenbeck 2-20-146-2",2,15,2,8,NA,-2.931104093,NA,-1.643315553
"Hollenbeck 2-20-154-2",2,23,1,8,1.331891361,4.548380611,NA,-0.633117832
"Hollenbeck 2-20-158-2",2,22,2,8,NA,-0.693681091,NA,NA
"Hollenbeck 2-20-165-2",2,18,2,8,1.367077391,1.128193884,NA,0.577312372
"Hollenbeck 2-20-169-2",2,16,1,8,NA,0.188032022,NA,-0.696052012
"Hollenbeck 2-20-171-2",2,17,1,8,NA,0.254957183,2.212975318,-2.378043347
"Hollenbeck 2-20-192-2",2,16,2,8,NA,-2.781157067,NA,-2.275749222
"Hollenbeck 2-20-199-2",2,15,1,8,NA,0.88206147,1.419079176,0.18690418
"Hollenbeck 2-20-200-2",2,17,1,8,NA,-0.744025359,NA,-1.800046812
"Hollenbeck 2-20-201-2",2,21,2,8,NA,-3.270642252,NA,-2.378043347
"Hollenbeck 2-20-202-2",2,18,1,8,NA,-1.466625854,2.628826523,0.870484912
"Hollenbeck 2-20-31-2",2,17,1,8,-0.166029727,-0.843316662,NA,-1.116466081
"Hollenbeck 2-20-31-3",2,18,1,8,NA,-1.487185531,NA,-2.888931431
"Hollenbeck 2-20-33-3",2,15,2,8,NA,-0.315022559,2.585925619,0.924922046
"Hollenbeck 2-20-46-2",2,26,1,8,3.658680375,0.211814961,NA,-3.064914151
"Hollenbeck 2-20-50-3",2,18,1,8,NA,1.75690692,3.130237475,0.854523522
"Hollenbeck 2-20-52-3",2,16,2,8,NA,2.110779013,NA,1.79520692
"Hollenbeck 2-20-68-2",2,20,1,8,NA,1.153536919,-0.103286695,-3.353912418
"Hollenbeck 2-20-73-2",2,22,2,8,NA,2.367896156,NA,-2.151797765
"Hollenbeck 2-20-85-2",2,43,1,8,-4.265363668,NA,NA,5.499697911
"Hollenbeck 2-20-89-2",2,30,2,8,NA,0.73703153,-0.438308122,-3.940043009
"Hollenbeck 3-20-199-2",2,17,2,9,NA,-3.34753568,NA,-4.907778024
"Hollenbeck 3-20-240-2",2,17,1,9,NA,6.65821898,NA,1.952789386
"Hollenbeck 3-20-241-2",2,20,2,NA,NA,1.54729459,NA,-5.485774559
"Hollenbeck 3-20-257-1",2,23,1,9,NA,3.891238801,NA,6.316248356
"Hollenbeck 3-20-264-1",2,19,2,NA,NA,2.761783727,NA,1.557355715
"Hollenbeck 3-20-298-1",2,19,2,NA,NA,1.715417519,NA,-3.302765356
"Hollenbeck 3-20-3-2",2,17,2,9,-3.307512401,NA,NA,3.026811303
"Hollywood-12-14-1",2,26,1,10,-0.296244126,3.048667528,1.908423142,1.77181418
"Hollywood-12-19-2",2,27,2,10,-4.285586767,0.246054076,1.884047111,1.708022977
"Hollywood-12-24-2",2,17,1,10,1.13597439,3.634714082,1.908423142,0.908960657
"Hollywood-12-25-2",2,15,1,10,NA,2.40411654,1.07126143,3.274532724
