ID,admin,age,sex,zone,gang,family,other,risk
Northeast-20-83-2,1,18,1,14,NA,3.670531247,-1.305697026,-2.775915883
Northeast-20-13-2,1,17,2,14,-5.733759551,-2.963317861,-2.151439549,3.287204041
Southwest 1-15-288-2,2,21,2,22,NA,4.68191082,-0.102922028,-5.485774559
Northeast-20-10-2,1,22,2,14,0.393343567,0.711907639,NA,2.205905091
NHSEA-0-322-2,2,20,1,7,-2.790171836,-0.453714404,NA,-1.167613143
77th 1-16-40-1,1,19,2,1,-1.157952858,-1.950319437,0.656896081,6.456163116
77th 3-20-30-1,1,16,1,3,NA,0.773598669,NA,-2.326896285
Northeast-20-90-2,1,16,2,14,0.840105957,2.534859937,2.319302317,5.168570837
SSSEARE-0-7-1,3,18,2,999,NA,5.365391537,3.692682345,-3.35720249
FGSEARE-0-37-1,1,18,1,999,2.799899234,-0.514608665,1.976943873,2.255498242
BVCB-0-191-1,2,30,1,22,-6.639538249,-0.94113384,NA,-4.509905488
Southeast 1-22-40-1,1,18,1,19,-6.868350407,5.774993808,3.206459888,-1.222050277
77th 1-16-51-1,1,17,1,1,NA,1.027784255,-1.461140754,-3.642910686
77th 1-16-9-1,1,20,1,1,3.650125199,-3.861090753,NA,5.831346195
Southeast 1-22-18-1,1,18,2,19,-1.49626299,3.817661157,NA,1.502040196
Southeast 1-22-34-1,1,25,1,19,-3.045982082,5.294490457,NA,-4.802193828
Southeast 1-22-3-1,1,17,1,19,NA,0.354490104,0.715350145,-0.644053742
Southeast 1-22-7-1,1,19,1,19,-1.772296335,1.874127101,NA,-2.830353017
Southeast 1-22-8-1,1,15,2,19,2.398341752,3.620792822,NA,-3.986346087
NHSEA-0-323-3,1,18,1,7,-0.035726104,1.925528901,NA,3.180401745
Hollywood-12-41-1,1,24,1,10,2.247342664,-2.01544832,1.523920319,4.687809955
Newton 2-23-15-1,1,24,1,13,NA,-4.764739977,-0.870077154,-3.880761891
RPARGR-PP-17-3,1,19,1,10,-0.783321754,0.982499345,2.134752587,2.064953727
Harbor-21-110-1,2,19,1,6,1.343445838,0.399003624,NA,-0.988340351
Harbor-21-113-1,2,20,1,6,0.671187074,2.224799427,NA,-2.956039882
Harbor-21-108-1,2,21,2,6,-1.406292118,-1.896823256,2.061259825,-1.167613143
CPHBRE-0-43-1,2,18,1,999,-0.044610041,-2.717269791,NA,0.947463579
Harbor-21-109-1,2,25,2,6,-1.408051345,-5.242334217,NA,-2.08904508
Newton 2-23-88-1,1,15,1,13,NA,4.353373957,-5.534556287,2.818230277
Hollenbeck 2-20-27-2,1,16,2,8,NA,3.6686129,NA,-2.70551736
Mission-19-92-1,1,23,1,11,-0.451499584,-3.662038315,1.859306413,6.857868296
Hollenbeck 1-20-27-2,1,17,1,7,-0.990978542,2.446607192,NA,1.140231718
BVCB-0-213-2,1,18,1,22,-6.283645582,1.135245027,NA,-2.272459151
77th 1-16-57-1,1,19,2,1,-6.480034919,-2.217126151,0.088964717,-2.956039882
77th 1-16-56-1,1,17,2,1,4.290003061,-7.972428124,2.251510918,-3.986346087
Newton 1-17-92-1,1,18,2,12,NA,2.083306089,NA,-2.034607945
Southeast 1-22-5-1,1,21,2,19,-6.408270868,0.039998553,NA,0.113215585
Northeast-20-161-1,1,19,2,14,-4.943211545,0.442738721,NA,2.194326646
Newton 1-17-85-1,1,17,2,12,NA,1.589565124,NA,-2.667041615
77th 3-20-106-1,1,15,2,3,NA,NA,-3.34414788,-0.054237097
Hollenbeck 1-20-22-2,1,20,1,7,2.489468526,-0.928670426,NA,-2.54135475
NHSEA-0-360-2,2,15,1,8,NA,0.670992767,1.391973493,-3.119351285
77th 3-20-3-1,2,18,2,3,NA,NA,NA,1.338755971
NHSEA-0-348-2,2,18,2,8,NA,-0.155519526,NA,-2.486917616
Southwest 1-15-254-1,1,27,1,22,-5.821275199,-2.023975628,-1.721912897,1.811504122
Newton 1-17-76-1,1,17,2,12,NA,-3.071202882,NA,0.386252463
Southwest 1-15-255-1,1,23,2,22,-7.256665895,-2.692281316,NA,1.639514179
77th 3-20-87-1,1,16,2,3,1.183123866,2.400203956,-1.959430197,5.983903182
Newton 2-23-92-1,1,13,1,13,NA,NA,-0.126418931,-5.196776292
77th 3-20-69-1,1,17,2,3,NA,-3.263713976,-6.790298855,-0.429595277
Hollywood-12-13-1,2,25,1,10,0.324250055,-3.210152211,2.444276793,4.734601251
Newton 1-17-70-1,1,15,2,12,0.473827175,-0.975035314,0.481683686,4.693692456
Hollenbeck 2-20-1-2,1,22,2,8,NA,-3.747272347,NA,-1.74889975
Olympic-12-50-1,1,16,2,15,2.372938511,6.935121755,3.841303521,2.760354568
Hollywood-12-8-1,2,25,1,10,-0.898059121,-1.097069781,1.382271492,1.592541388
