"","gangid","Position","Time","Identification","Emotion","sum"
"1","BVCB-0-144-1",-1.93247459444801,-0.972480296046588,-2.66027339437221,-2.2468347119703,-7.81206299683712
"2","BVCB-0-174-1",0.161891136356485,0.0183904909026811,0.869892002119672,1.07050277037716,2.12067639975599
"3","Southeast 3-10-18-1",-1.93247459444801,-1.71563338625854,-2.66027339437221,-2.2468347119703,-8.55521608704907
"4","Southeast 3-10-17-1",-1.93247459444801,-1.71563338625854,-2.66027339437221,-2.2468347119703,-8.55521608704907
"5","Southeast 3-10-19-1",-1.93247459444801,-1.71563338625854,-2.66027339437221,-2.2468347119703,-8.55521608704907
"6","RPARGR-PP-158-3",0.161891136356485,1.00926127785195,NA,0.628191106064161,NA
"7","Foothill-14-192-1",0.161891136356485,1.50469667132658,-0.376048726053935,-0.256432222561828,1.03410685906731
"8","BVCB-0-77-1",-1.93247459444801,-1.71563338625854,-1.41433266619861,-0.256432222561828,-5.31887286946699
"9","Newton 1-17-66-1",1.55813495689282,1.00926127785195,-0.168391938025,0.407035273907664,2.80603957062743
"10","SPWTN-0-84-1",1.55813495689282,0.513825884377316,0.454578426061803,0.185879441751166,2.7124187090831
"11","Harbor-21-127-1",0.161891136356485,0.761543581114633,1.07754879014861,1.07050277037716,3.07148627799688
"12","Hollywood-12-35-1",0.161891136356485,0.513825884377316,-0.376048726053935,0.407035273907664,0.70670356858753
"13","Harbor-21-128-1",-0.536230773911681,1.00926127785195,0.869892002119672,0.185879441751166,1.52880194781111
"14","SPWTN-0-106-1",0.860013046624652,0.0183904909026811,-0.791362302111804,-0.698743886874823,-0.611702651459293
"15","Harbor-21-107-1",0.161891136356485,-0.477044902571954,0.246921638032869,0.185879441751166,0.117647313568567
"16","RPARGR-PP-15-2",0.161891136356485,1.50469667132658,-0.999019090140738,1.29165860253365,1.95922732007598
"17","Hollywood-12-34-1",-0.536230773911681,1.25697897458927,-0.58370551408287,0.628191106064161,0.765233792658878
"18","Hollywood-12-36-1",0.860013046624652,1.25697897458927,1.49286236620648,0.849346938220658,4.45920132564105
"19","Northeast-20-57-2",0.161891136356485,-1.46791568952122,-2.66027339437221,-2.2468347119703,-6.21313265950726
"20","BVCB-0-140-2",NA,NA,-0.791362302111804,0.407035273907664,NA
"21","Olympic-12-29-1",0.161891136356485,0.266108187639998,-0.168391938025,0.185879441751166,0.44548682772265
"22","Southeast 1-22-23-1",0.860013046624652,2.00013206480122,1.07754879014861,1.29165860253365,5.22935250410813
"23","Harbor-21-111-1",0.860013046624652,0.266108187639998,-0.58370551408287,0.185879441751166,0.728295161932947
"24","Northeast-20-12-2",0.860013046624652,0.513825884377316,0.454578426061803,1.29165860253365,3.12007595959742
"25","Northeast-20-97-2",-0.536230773911681,-0.972480296046588,-0.168391938025,0.407035273907664,-1.27006773407561
"26","Foothill-14-219-1",-1.93247459444801,-1.71563338625854,-1.82964624225648,-2.2468347119703,-7.72458893493333
"27","Southeast 1-22-27-1",-1.93247459444801,0.0183904909026811,-1.82964624225648,-1.58336721550081,-5.32709756130262
"28","Northeast-20-98-2",0.161891136356485,0.266108187639998,-0.999019090140738,0.407035273907664,-0.163984492236591
"29","Southeast 1-22-24-1",-1.23435268417985,-0.229327205834636,0.0392648500039338,-0.0352763904053308,-1.45969143041588
"30","Hollenbeck 1-20-44-2",1.55813495689282,0.761543581114633,1.28520557817754,1.07050277037716,4.67538688656215
"31","Mission-19-96-1",1.55813495689282,0.0183904909026811,0.246921638032869,1.07050277037716,2.89394985620552
"32","Hollenbeck 2-20-30-2",0.161891136356485,1.00926127785195,-0.999019090140738,0.407035273907664,0.579168597975361
"33","Northeast-20-64-2",-0.536230773911681,0.266108187639998,0.0392648500039338,-0.0352763904053308,-0.26613412667308
"34","Harbor-21-137-1",-0.536230773911681,-0.972480296046588,-0.791362302111804,-0.0352763904053308,-2.3353497624754
"35","Hollenbeck 2-20-9-2",0.860013046624652,-0.229327205834636,1.07754879014861,1.07050277037716,2.77873740131578
"36","Northeast-20-61-2",-0.536230773911681,-0.724762599309271,-0.58370551408287,-0.698743886874823,-2.54344277417864
"37","Foothill-14-224-1",0.161891136356485,-1.71563338625854,1.49286236620648,0.628191106064161,0.567311222368581
"38","Northeast-20-100-2",0.161891136356485,0.513825884377316,0.662235214090737,0.849346938220658,2.1872991730452
"39","Harbor-21-134-1",0.860013046624652,0.0183904909026811,0.246921638032869,-1.14105555118782,-0.0157303756276155
"40","BVCB-0-235-2",0.161891136356485,0.266108187639998,0.0392648500039338,1.29165860253365,1.75892277653407
"41","FGSEARE-0-35-1",0.161891136356485,0.0183904909026811,1.07754879014861,0.628191106064161,1.88602152347193
"42","Harbor-21-112-1",0.161891136356485,-0.229327205834636,-0.376048726053935,-1.36221138334431,-1.8056961788764
"43","77th 1-16-34-1",0.161891136356485,1.00926127785195,-0.168391938025,0.185879441751166,1.1886399179346
"44","Northeast-20-35-2",-0.536230773911681,0.761543581114633,-0.791362302111804,-1.36221138334431,-1.92826087825317
"45","Northeast-20-13-2",-0.536230773911681,-1.71563338625854,-1.20667587816967,-2.2468347119703,-5.7053747503102
"46","Northeast-20-10-2",-0.536230773911681,1.50469667132658,0.246921638032869,-0.698743886874823,0.516643648572949
"47","NHSEA-0-322-2",-1.23435268417985,-0.724762599309271,-0.168391938025,-0.698743886874823,-2.82625110838894
"48","77th 1-16-40-1",-0.536230773911681,-0.477044902571954,0.0392648500039338,-0.256432222561828,-1.23044304904153
