,GRYD_ETO_ID,Categorized_Activities
190,Mission-19-38-1,community
191,77th 1-16-54-1,church
192,Mission-19-82-1,
193,Mission-19-20-2,
194,77th 1-16-49-1,
195,77th 1-16-15-1,
196,Mission-19-53-1,church
197,77th 1-16-58-1,
198,77th 3-20-59-2,sports
199,RPARGR-PP-158-3,volunteer
200,Hollywood-12-14-1,community
201,CPHBRE-0-3-1,
202,Southeast 1-22-45-1,sports
203,Mission-19-51-1,church
204,Southwest 1-15-259-1,job
205,Hollenbeck 2-20-5-2,community
206,Devonshire-Topanga-11-7-1,"entertainment, therapy"
207,Hollywood-12-12-1,community
208,Southeast 1-22-6-1,volunteer
209,Mission-19-13-1,church
210,FGSEARE-0-52-1,job
211,FGSEARE-0-55-1,"art, sports"
212,Southeast 1-22-43-1,sports
213,Southeast 1-22-29-1,selfimprovement
214,Southeast 1-22-22-1,
215,CPHBRE-0-39-1,"study, selfimprovement"
216,Southeast 1-22-46-1,
217,Foothill-14-238-1,study
218,BVCB-0-226-1,study
219,RPARGR-PP-149-2,volunteer
220,Mission-19-58-1,
221,Mission-19-28-1,art
222,Hollywood-12-18-1,volunteer
223,Hollywood-12-17-1,"volunteer, community"
224,Southwest 1-15-258-1,
225,NHSEA-0-356-2,
226,Hollywood-12-16-1,community
227,Devonshire-Topanga-11-18-2,
228,Hollenbeck 1-20-49-2,
229,Newton 2-23-77-1,church
230,Foothill-14-241-1,
231,Hollywood-12-15-1,community
232,77th 2-13-1311-1,"job, study"
233,Newton 2-23-26-1,
234,Northeast-20-49-2,community
235,Newton 1-17-106-1,
236,Southwest 2-23-30-1,
237,Devonshire-Topanga-11-3-2,art
238,Devonshire-Topanga-11-4-2,church
239,Hollywood-12-4-1,volunteer
240,Devonshire-Topanga-11-33-1,
241,Southeast 3-10-108-1,
242,Devonshire-Topanga-11-15-1,"art, sports, selfimprovement, entertainment"
243,Hollywood-12-6-1,volunteer
244,Newton 2-23-67-1,"study, selfimprovement, church"
245,Southwest 1-15-262-1,job
246,Newton 1-17-108-1,
247,Newton 2-23-12-1,
248,Northeast-20-1-2,
249,Southeast 3-10-109-1,
250,Southwest 1-15-261-1,
251,SSSEARE-0-66-1,
252,Northeast-20-127-2,sports
253,Southwest 1-15-263-1,"art, study, sports, selfimprovement"
254,Southeast 1-22-9-1,
255,Newton 1-17-120-1,
256,Southwest 2-23-57-1,
257,Devonshire-Topanga-11-57-2,
258,Devonshire-Topanga-11-5-1,study
259,Foothill-14-240-1,sports
260,Southeast 3-10-66-2,
261,FGCT-0-187-2,
262,Devonshire-Topanga-11-64-1,
263,Southeast 3-10-111-1,
264,Northeast-20-106-2,sports
265,Harbor-21-141-1,
266,Northeast-20-99-2,church
267,77th 3-20-29-1,"sports, study"
268,Newton 1-17-107-1,volunteer
269,Hollenbeck 2-20-46-2,
270,Devonshire-Topanga-11-54-1,study
271,Devonshire-Topanga-11-16-1,
272,CPHBRE-0-29-1,"selfimprovement, program"
273,Devonshire-Topanga-11-47-1,art
274,Southwest 1-15-269-1,"study, job"
275,FGSEARE-0-41-1,
276,Devonshire-Topanga-11-9-2,
277,CPHBRE-0-56-1,
278,Devonshire-Topanga-11-52-1,study
279,Devonshire-Topanga-11-12-2,"study, entertainment"
280,SSSEARE-0-69-1,
281,FGSEARE-0-54-1,
282,Newton 2-23-97-1,
283,Newton 2-23-86-1,
284,Newton 1-17-118-1,volunteer
285,Northeast-20-25-2,
286,CPHBRE-0-53-2,
287,Southwest 2-23-17-1,
288,CPHBRE-0-61-1,
289,Newton 2-23-101-1,church
290,Newton 2-23-113-1,church
291,Hollenbeck 2-20-48-2,
292,Southeast 1-22-51-1,
293,BVCB-0-34-4,
294,Northeast-20-35-2,"church, job"
295,Devonshire-Topanga-11-13-1,community
296,CPHBRE-0-62-1,
297,Hollenbeck 1-20-65-2,
298,Southwest 1-15-276-1,
299,Southeast 2-20-99-1,
300,Newton 1-17-128-1,sports
301,Hollenbeck 1-20-59-2,
302,Southwest 1-15-273-1,church
303,Rampart 1-12-451-1,job
304,Newton 1-17-121-1,volunteer
305,Devonshire-Topanga-11-46-1,
306,Southeast 3-10-113-1,
307,Southwest 1-15-277-1,"church, sports"
308,CPHBRE-0-60-1,
309,BVCB-0-129-2,art
310,Southwest 2-23-62-1,
311,Southwest 1-15-280-1,job
312,Northeast-20-136-2,
313,Hollenbeck 2-20-31-2,
314,Newton 1-17-127-1,sports
315,Foothill-14-276-1,sports
316,Southeast 2-20-85-1,volunteer
317,Hollenbeck 1-20-69-2,
318,Olympic-12-27-1,art
319,Southwest 1-15-238-1,job
320,Hollenbeck 2-20-50-2,sports
321,Hollenbeck 2-20-73-2,church
322,Hollenbeck 2-20-43-2,sports
323,Northeast-20-64-2,
324,Southeast 2-20-63-1,hygiene
325,Southeast 1-22-54-1,volunteer
326,Hollenbeck 2-20-74-2,program
327,Southwest 2-23-10-1,job
328,CPHBRE-0-70-1,
329,Mission-14-131-1,
330,Newton 1-17-137-1,
331,77th 2-13-1309-1,church
332,77th 2-13-1305-1,
333,Newton 1-17-142-1,
334,Southeast 1-22-30-1,
335,RPARGR-PP-124-2,
336,Southwest 2-23-66-1,
337,FGSEARE-0-59-1,program
338,Harbor-21-155-1,
339,Northeast-20-138-2,
340,PCMCIS-0-10-3,
341,Harbor-21-150-1,
342,Pacific-18-101-1,selfimprovement
343,Hollenbeck 1-20-85-2,
344,SSSEARE-0-72-1,"art, study"
345,SSSEARE-0-71-1,study
346,BVCB-0-232-2,sports
347,Devonshire-Topanga-11-60-2,
348,Southwest 1-15-264-1,"selfimprovement, art, study, sports"
349,Foothill-14-376-1,
350,Rampart 1-12-414-1,"church, sports"
351,Rampart 1-12-480-2,volunteer
352,Rampart 1-12-480-2,sports
353,Rampart 1-12-474-1,
354,Olympic-12-12-2,
355,PCMCIS-0-23-2,
356,Southeast 1-22-56-1,
357,Rampart 1-12-410-1,
358,Rampart 1-12-231-2,"other, family"
359,77th 2-13-1316-1,sports
360,Rampart 1-12-406-2,
361,Rampart 1-12-418-1,
362,Newton 1-17-70-1,
363,BVCB-0-184-2,"job, selfimprovement"
364,NHSEA-0-222-3,
365,Hollenbeck 2-20-54-2,community
366,Hollenbeck 2-20-71-2,
367,Southeast 1-22-58-1,
368,BVCB-0-76-3,"study, job"
369,Hollenbeck 2-20-65-2,
370,Newton 1-17-145-1,
371,77th 2-13-1290-2,
372,Southwest 2-23-10-1,
373,Hollenbeck 2-20-10-2,
374,Hollenbeck 2-20-60-2,
375,Mission-14-140-1,
376,Southwest 1-15-271-2,job
377,Southwest 1-15-270-2,job
378,Southwest 2-23-69-1,
379,NHSEA-0-362-2,
380,Hollenbeck 2-20-57-2,program
381,Hollenbeck 2-20-84-2,
382,BVCB-0-215-3,sports
383,Olympic-12-61-1,
384,Hollenbeck 2-20-82-2,
385,FGSEARE-0-60-1,sports
386,77th 1-16-63-1,
387,Hollenbeck 2-20-68-2,
388,Southwest 1-15-287-2,
389,Southwest 1-15-281-2,
390,Southeast 1-22-31-1,
391,Northeast-20-100-2,"art, church"
392,Southwest 1-15-260-2,
393,Hollenbeck 1-20-46-2,
394,Olympic-12-58-1,
395,Hollenbeck 2-20-38-2,study
396,Southeast 2-20-135-1,hygiene
397,Hollenbeck 1-20-91-2,
398,CPHBRE-0-39-1,"job, study"
399,Southeast 2-20-127-1,
400,Southeast 2-20-125-1,hygiene
401,Southeast 1-22-61-1,
402,Southeast 2-20-109-1,"study, hygiene"
403,Olympic-12-71-1,
404,Southeast 2-20-126-1,hygiene
405,BHSEA-2-135-3,
406,NHSEA-0-275-2,
407,BVCB-0-174-1,
408,Northeast-20-160-2,
409,NHSEA-0-346-3,
410,Southeast 3-10-105-2,
411,77th 2-13-1313-2,
412,Southwest 1-15-289-1,"job, study"
413,Southwest 1-15-290-1,"sports, job, school"
414,Northeast-20-164-2,
415,Northeast-20-97-2,
416,Hollenbeck 3-20-29-2,
417,Northeast-20-158-2,church
418,Hollenbeck 2-20-70-2,job
419,Hollenbeck 3-20-68-2,
420,Hollenbeck 1-20-44-2,
421,Hollenbeck 2-20-92-2,
422,Northeast-20-144-2,sports
423,BVCB-0-196-3,"church, study"
424,NHSEA-0-301-4,
425,Hollywood-12-19-2,community
426,Southeast 3-10-120-1,sports
427,Hollenbeck 1-20-78-2,
428,Hollywood-12-26-2,church
429,Hollywood-12-30-2,sports
430,Hollywood-12-38-2,"sports, community"
431,Southeast 1-22-44-1,church
432,Hollywood-12-24-2,community
433,Hollenbeck 1-20-38-2,
434,BVCB-0-235-2,study
435,Harbor-21-157-1,
436,Harbor-21-158-1,
437,Hollywood-12-25-2,community
438,Hollenbeck 1-20-8-3,
439,Hollenbeck 1-20-94-2,
440,Foothill-14-292-1,
441,RPARGR-PP-154-3,community
442,Harbor-21-156-1,
443,Southeast 1-22-34-1,
444,Hollenbeck 1-20-93-3,
445,Hollenbeck 3-20-91-2,
446,Hollenbeck 3-20-99-2,
447,Harbor-21-159-1,
448,77th 3-20-143-1,
449,Hollenbeck 1-20-72-2,
450,Foothill-14-390-1,
451,Pacific-18-231-1,"therapy, selfimprovement"
452,Pacific-18-232-1,therapy
453,Hollenbeck 1-20-97-2,
454,Southeast 2-20-132-1,entertainment
455,77th 3-20-144-1,
456,77th 3-20-91-2,
457,77th 3-20-138-1,
458,Valley-92-1-1,
459,Hollenbeck 2-20-110-2,
460,77th 3-20-79-2,
461,77th 3-20-145-1,
462,77th 3-20-108-2,therapy
463,Hollenbeck 2-20-23-3,
464,NHSEA-0-217-2,church
465,77th 3-20-105-2,sports
466,Pacific-18-105-2,program
467,77th 3-20-155-1,
468,Hollywood-12-41-1,community
469,77th 2-13-1331-1,"program, selfimprovement, study"
470,Southwest 1-15-288-2,job
471,Valley-92-4-1,
472,Foothill-14-312-1,
473,Hollenbeck 2-20-93-2,
474,Hollenbeck 2-20-89-2,
475,Hollenbeck 2-20-104-2,
476,Hollenbeck 3-20-96-2,
477,Southeast 1-22-62-1,study
478,Hollenbeck 3-20-4-3,
479,CPHBRE-0-83-1,"study, job"
480,Newton 1-17-160-1,
481,77th 3-20-153-2,
482,Newton 1-17-164-1,
483,Rampart 1-12-454-2,
484,Harbor-21-160-1,
485,Pacific-18-109-1,family
486,Hollenbeck 2-20-77-2,
487,Valley-92-5-1,
488,77th 2-13-1339-1,
489,CPHBRE-0-82-1,
490,77th 2-13-1326-1,program
491,Newton 1-17-156-1,
492,77th 2-13-1306-1,
493,Newton 1-17-165-1,
494,Foothill-14-313-1,
495,Hollenbeck 2-20-100-2,
496,Harbor-21-162-2,
497,Newton 2-23-63-2,"church, program, sports"
498,Southeast 3-10-122-1,
499,Pacific-18-233-1,therapy
500,Pacific-18-226-1,"therapy, program"
501,Pacific-18-207-1,"therapy, program"
502,Pacific-18-204-1,program
503,Pacific-18-223-1,therapy
504,Valley-92-7-1,
505,Devonshire-Topanga-11-101-1,
506,CPHBRE-0-76-1,
507,Pacific-18-200-1,
508,NHSEA-0-337-3,
509,Pacific-18-216-2,
510,Northeast-20-156-2,
511,Pacific-18-234-1,therapy
512,Pacific-18-229-1,
513,Southeast 3-10-79-2,sports
514,Pacific-18-236-1,"therapy, selfimprovement, program"
515,Pacific-18-235-1,therapy
516,Newton 2-23-146-1,job
517,Newton 2-23-128-1,program
518,Southeast 3-10-123-1,
519,Southeast 1-22-66-1,entertainment
520,Hollenbeck 2-20-85-2,
521,Hollenbeck 1-20-100-2,
522,Southwest 1-15-262-1,job
523,Southwest 1-15-298-1,community
524,Mission-14-156-1,program
525,Foothill-14-316-1,
526,Devonshire-Topanga-11-98-1,
527,Hollenbeck 2-20-52-3,
528,Devonshire-Topanga-11-97-1,art
529,Southeast 1-22-68-1,sports
530,Newton 1-17-169-1,
531,Pacific-18-108-1,study
532,Newton 1-17-170-1,
533,VMVHF-0-62-2,
534,Pacific-18-103-3,study
535,Newton 2-23-145-1,"selfimprovement, therapy"
536,Hollenbeck 2-20-119-2,
537,Hollenbeck 2-20-120-2,
538,77th 2-13-1341-1,
539,77th 2-13-1310-2,
540,77th 2-13-1336-1,
541,BHSEA-1-152-3,
542,77th 2-13-1333-1,
543,Devonshire-Topanga-11-92-1,
544,Hollenbeck 2-20-33-3,
545,77th 2-13-1342-1,study
