,GRYD_ETO_ID,S6b_Other_Activities,Normalized_Answers
146,CPHBRE-0-55-1,,
147,FGSEARE-0-34-1,GRYD Re-entry,gryd
148,Newton 2-23-66-1,Church,church
149,FGSEARE-0-38-1,,
150,Harbor-21-136-1,,
151,Newton 2-23-4-1,Meet at GRYD Program,gryd
152,Hollywood-12-10-1,Community projects,community
153,BHSEA-2-143-2,,
154,Newton 1-17-95-1,,
155,Southwest 2-23-54-1,,
156,77th 1-16-16-1,GRYD,gryd
157,Hollenbeck 2-20-146-2,Church and life workshop w/ GRYD,"church, life-skills, gryd"
158,77th 1-16-10-1,GRYD,gryd
159,Hollywood-12-5-1,Community events,community
160,Hollywood-12-1-1,Community cleanups,community
161,77th 1-16-17-1,GRYD,gryd
162,Southeast 1-22-44-1,,
163,Devonshire-Topanga-11-25-2,I work on cars,work
164,Harbor-21-126-1,"Volunteer, running, self-discipline","volunteer, workout, self-improvement"
165,Newton 2-23-103-1,VOA Life skills and boxing at South LS boxing,"voa, life-skills, boxing"
166,Harbor-21-139-1,,
167,77th 2-13-1302-1,,
168,Southwest 1-15-256-1,"Reading, time with kids","read, other"
169,77th 1-16-13-1,GRYD,gryd
170,Hollywood-12-3-1,Community clean ups,community
171,Harbor-21-140-2,GRYD,gryd
172,NHSEA-0-217-2,Hangs out at the park,workout
173,77th 1-16-46-1,,
174,BVCB-0-215-3,"Working, basketball","work, basketball"
175,Devonshire-Topanga-11-8-1,,
176,77th 2-13-1297-1,,
177,Southwest 1-15-247-1,"Bike riding to clear my mind, martial arts program, media program","workout, martial arts, art"
178,Southwest 1-15-246-1,"Black student union, photography for school year book.","organization, art"
179,77th 2-13-1308-1,,
180,77th 2-13-1307-1,,
181,Hollenbeck 2-20-56-2,,
182,Newton 2-23-56-1,,
183,Newton 1-17-100-1,Dance class,art
184,Hollenbeck 1-20-50-2,,
185,CPHBRE-0-54-1,A.A. Classes,class
186,Newton 2-23-84-1,Church,church
187,Newton 2-23-104-1,Life skills/workshops,life-skills
188,Harbor-21-138-1,,
189,Southeast 1-22-3-1,Church,church
190,Mission-19-38-1,Community events,community
191,77th 1-16-54-1,Church,church
192,Mission-19-82-1,,
193,Mission-19-20-2,,
194,77th 1-16-49-1,GRYD,gryd
195,77th 1-16-15-1,GRYD,gryd
196,Mission-19-53-1,Religious activities,church
197,77th 1-16-58-1,GRYD,gryd
198,77th 3-20-59-2,Playing basketball,basketball
199,RPARGR-PP-158-3,Volunteer,volunteer
200,Hollywood-12-14-1,Community events,community
201,CPHBRE-0-3-1,,
202,Southeast 1-22-45-1,Sports,sports
203,Mission-19-51-1,Church,church
204,Southwest 1-15-259-1,Looking for employment,job
205,Hollenbeck 2-20-5-2,Community assistance,community
206,Devonshire-Topanga-11-7-1,"Getting nails done, doctors appoint.","other, doctor"
207,Hollywood-12-12-1,Community events,community
208,Southeast 1-22-6-1,Volunteer work,volunteer
209,Mission-19-13-1,Church/GRYD,"church, gryd"
210,FGSEARE-0-52-1,Job search/GRYD,"job, gryd"
211,FGSEARE-0-55-1,"Art, soccer, basketball","art, soccer, basketball"
212,Southeast 1-22-43-1,Workout,workout
213,Southeast 1-22-29-1,Life skills workshop,life-skills
214,Southeast 1-22-22-1,,
215,CPHBRE-0-39-1,"College, anger management, 12 step, criminals and gangs anon. fire crew","school, self-improvement"
216,Southeast 1-22-46-1,,
217,Foothill-14-238-1,Reading,read
218,BVCB-0-226-1,Checked in school,school
219,RPARGR-PP-149-2,Volunteer activity,volunteer
220,Mission-19-58-1,,
221,Mission-19-28-1,GRYD/Art program,"gryd, art"
222,Hollywood-12-18-1,Volunteer activities,volunteer
223,Hollywood-12-17-1,Volunteer/community,"volunteer, community"
224,Southwest 1-15-258-1,,
225,NHSEA-0-356-2,,
226,Hollywood-12-16-1,Community clean-ups,community
227,Devonshire-Topanga-11-18-2,,
228,Hollenbeck 1-20-49-2,,
229,Newton 2-23-77-1,Learn new things at GRYD program attend church with mom,"gryd, church"
230,Foothill-14-241-1,,
231,Hollywood-12-15-1,Community events,community
232,77th 2-13-1311-1,Job/school search,"job, school"
233,Newton 2-23-26-1,,
234,Northeast-20-49-2,Community hours/Cleaning,community
235,Newton 1-17-106-1,,
236,Southwest 2-23-30-1,,
237,Devonshire-Topanga-11-3-2,AnT. Music. Condishing,art
238,Devonshire-Topanga-11-4-2,Bible studying kicking back,bible
239,Hollywood-12-4-1,Volunteer in community,volunteer
240,Devonshire-Topanga-11-33-1,,
241,Southeast 3-10-108-1,,
242,Devonshire-Topanga-11-15-1,"Read, exercise, meditate, chill","art, workout, self-improvement, other"
243,Hollywood-12-6-1,Volunteer work,volunteer
244,Newton 2-23-67-1,"Tutoring, life skills at school campus (college) church with family","tutoring, life-skills, church"
245,Southwest 1-15-262-1,Working/job training,"work, job"
246,Newton 1-17-108-1,,
247,Newton 2-23-12-1,,
248,Northeast-20-1-2,GRYD workshops.,gryd
249,Southeast 3-10-109-1,,
250,Southwest 1-15-261-1,,
251,SSSEARE-0-66-1,"Nothing, I just go home.",
252,Northeast-20-127-2,Sports,sports
253,Southwest 1-15-263-1,"Creating music, studying history, studying music, trying to be open minded, being open to different perspectives, working out.","art, study, workout, self-improvement"
254,Southeast 1-22-9-1,,
255,Newton 1-17-120-1,,
256,Southwest 2-23-57-1,,
257,Devonshire-Topanga-11-57-2,,
258,Devonshire-Topanga-11-5-1,Read book,read
259,Foothill-14-240-1,Soccer,workout
260,Southeast 3-10-66-2,,
261,FGCT-0-187-2,,
262,Devonshire-Topanga-11-64-1,,
263,Southeast 3-10-111-1,,
264,Northeast-20-106-2,Boxing,boxing
265,Harbor-21-141-1,Just GRYD,gryd
266,Northeast-20-99-2,Religious activities,church
267,77th 3-20-29-1,Workout and read sometimes,"workout, read"
268,Newton 1-17-107-1,Volunteer in the community,volunteer
269,Hollenbeck 2-20-46-2,,
270,Devonshire-Topanga-11-54-1,Read a book,read
271,Devonshire-Topanga-11-16-1,,
272,CPHBRE-0-29-1,"Anger management, substance abuse","self-improvement, sa-program"
273,Devonshire-Topanga-11-47-1,Drawing,art
274,Southwest 1-15-269-1,Studying and working in the culinary arts,"study, work"
275,FGSEARE-0-41-1,,
276,Devonshire-Topanga-11-9-2,,
277,CPHBRE-0-56-1,,
278,Devonshire-Topanga-11-52-1,Modivashon [sic] in school,school
279,Devonshire-Topanga-11-12-2,"Reading books, watching videos","read, entertainment"
280,SSSEARE-0-69-1,,
281,FGSEARE-0-54-1,GRYD,gryd
282,Newton 2-23-97-1,,
283,Newton 2-23-86-1,,
284,Newton 1-17-118-1,Volunteer at park,volunteer
285,Northeast-20-25-2,,
286,CPHBRE-0-53-2,,
287,Southwest 2-23-17-1,,
288,CPHBRE-0-61-1,,
289,Newton 2-23-101-1,Church,church
290,Newton 2-23-113-1,Church with grandmother,church
291,Hollenbeck 2-20-48-2,,
292,Southeast 1-22-51-1,,
293,BVCB-0-34-4,,
294,Northeast-20-35-2,"Church, job preparation","church, job"
295,Devonshire-Topanga-11-13-1,"GRYD, community En","gryd, community"
296,CPHBRE-0-62-1,"Homeboys 101, Working with rivals, staying away from my neighborhood",
297,Hollenbeck 1-20-65-2,,
298,Southwest 1-15-276-1,,
299,Southeast 2-20-99-1,,
300,Newton 1-17-128-1,Play's soccer,soccer
301,Hollenbeck 1-20-59-2,,
302,Southwest 1-15-273-1,Church,church
303,Rampart 1-12-451-1,Job readiness,job
304,Newton 1-17-121-1,Volunteer at park,volunteer
305,Devonshire-Topanga-11-46-1,,
306,Southeast 3-10-113-1,,
307,Southwest 1-15-277-1,"Church, working out, basketball","church, workout, basketball"
308,CPHBRE-0-60-1,,
309,BVCB-0-129-2,Drawing,art
310,Southwest 2-23-62-1,,
311,Southwest 1-15-280-1,"Looking for jobs, applications.",job
312,Northeast-20-136-2,GRYD,gryd
313,Hollenbeck 2-20-31-2,,
314,Newton 1-17-127-1,Aerobics with aunt,workout
315,Foothill-14-276-1,Basketball,basketball
316,Southeast 2-20-85-1,Volunteer for SNL,volunteer
317,Hollenbeck 1-20-69-2,,
318,Olympic-12-27-1,Dancing,art
319,Southwest 1-15-238-1,"Looking for apartment, employment, taking care of myself and girlfriend",job
320,Hollenbeck 2-20-50-2,Works out,workout
321,Hollenbeck 2-20-73-2,Church,church
322,Hollenbeck 2-20-43-2,Plays soccer,soccer
323,Northeast-20-64-2,GRYD activities,gryd
324,Southeast 2-20-63-1,Keeping up on my hygiene,hygiene
325,Southeast 1-22-54-1,Volunteer,volunteer
326,Hollenbeck 2-20-74-2,Urban Art Movement (UAM),uam
327,Southwest 2-23-10-1,Conservation Corps,other
328,CPHBRE-0-70-1,,
329,Mission-14-131-1,,
330,Newton 1-17-137-1,,
331,77th 2-13-1309-1,Church,church
332,77th 2-13-1305-1,,
333,Newton 1-17-142-1,,
334,Southeast 1-22-30-1,,
335,RPARGR-PP-124-2,,
336,Southwest 2-23-66-1,,
337,FGSEARE-0-59-1,Programs referred to by PO,program
338,Harbor-21-155-1,Just GRYD,gryd
339,Northeast-20-138-2,GRYD workshops,gryd
340,PCMCIS-0-10-3,,
341,Harbor-21-150-1,,
342,Pacific-18-101-1,Anger Management,self-improvement
343,Hollenbeck 1-20-85-2,,
344,SSSEARE-0-72-1,"Dance, music, school","art, school"
345,SSSEARE-0-71-1,School,school
346,BVCB-0-232-2,Works out,workout
347,Devonshire-Topanga-11-60-2,,
348,Southwest 1-15-264-1,"Planning, writing, reading, research, walking, interacting with people","plan, art, read, research, workout, self-improvement"
349,Foothill-14-376-1,,
350,Rampart 1-12-414-1,Attend church/soccer practice,"church, soccer"
351,Rampart 1-12-480-2,Volunteer at Program,volunteer
352,Rampart 1-12-480-2,Go to the park.,workout
353,Rampart 1-12-474-1,,
354,Olympic-12-12-2,,
355,PCMCIS-0-23-2,,
356,Southeast 1-22-56-1,,
357,Rampart 1-12-410-1,,
358,Rampart 1-12-231-2,"Fix car, security videos, being a parent","other, parenting"
359,77th 2-13-1316-1,Basketball,basketball
360,Rampart 1-12-406-2,,
361,Rampart 1-12-418-1,,
362,Newton 1-17-70-1,,
363,BVCB-0-184-2,Working/work skills/experience,"work, self-improvement"
364,NHSEA-0-222-3,,
365,Hollenbeck 2-20-54-2,Community service,community
366,Hollenbeck 2-20-71-2,,
367,Southeast 1-22-58-1,,
368,BVCB-0-76-3,"School enrollment, independent house search, employment search","school, job"
369,Hollenbeck 2-20-65-2,GRYD client seeing CM/CIW,gryd
370,Newton 1-17-145-1,,
371,77th 2-13-1290-2,,
372,Southwest 2-23-10-1,,
373,Hollenbeck 2-20-10-2,,
374,Hollenbeck 2-20-60-2,,
375,Mission-14-140-1,,
376,Southwest 1-15-271-2,Job search,job
377,Southwest 1-15-270-2,Job search,job
378,Southwest 2-23-69-1,,
379,NHSEA-0-362-2,,
380,Hollenbeck 2-20-57-2,Substance abuse class,sa-program
381,Hollenbeck 2-20-84-2,,
382,BVCB-0-215-3,Basketball,basketball
383,Olympic-12-61-1,,
384,Hollenbeck 2-20-82-2,,
385,FGSEARE-0-60-1,Works out,workout
386,77th 1-16-63-1,,
387,Hollenbeck 2-20-68-2,,
388,Southwest 1-15-287-2,,
389,Southwest 1-15-281-2,,
390,Southeast 1-22-31-1,,
391,Northeast-20-100-2,"Drawings, church","art, church"
392,Southwest 1-15-260-2,,
393,Hollenbeck 1-20-46-2,,
394,Olympic-12-58-1,,
395,Hollenbeck 2-20-38-2,School clubs,school
396,Southeast 2-20-135-1,Hygiene,hygiene
397,Hollenbeck 1-20-91-2,,
398,CPHBRE-0-39-1,Work study in college,"work, study"
399,Southeast 2-20-127-1,,
400,Southeast 2-20-125-1,Hygiene,hygiene
401,Southeast 1-22-61-1,,
402,Southeast 2-20-109-1,Study for D.M.V/RSO card/Hygiene,"study, hygiene"
403,Olympic-12-71-1,,
404,Southeast 2-20-126-1,Hygiene,hygiene
405,BHSEA-2-135-3,GRYD,gryd
406,NHSEA-0-275-2,,
407,BVCB-0-174-1,,
408,Northeast-20-160-2,,
409,NHSEA-0-346-3,,
410,Southeast 3-10-105-2,,
411,77th 2-13-1313-2,None,
412,Southwest 1-15-289-1,"Job search, school enrollment, parole compliance","job, school"
413,Southwest 1-15-290-1,"Handling responsiblities with court, excercise, job serach, school enrollment","workout, job, school"
414,Northeast-20-164-2,,
415,Northeast-20-97-2,,
416,Hollenbeck 3-20-29-2,,
417,Northeast-20-158-2,Church,church
418,Hollenbeck 2-20-70-2,Student store,other
419,Hollenbeck 3-20-68-2,,
420,Hollenbeck 1-20-44-2,,
421,Hollenbeck 2-20-92-2,,
422,Northeast-20-144-2,Basketball,basketball
423,BVCB-0-196-3,"Church, read the bible, listen to scriptures","church, bible"
424,NHSEA-0-301-4,,
425,Hollywood-12-19-2,Community events/clean up,community
426,Southeast 3-10-120-1,Football,football
427,Hollenbeck 1-20-78-2,,
428,Hollywood-12-26-2,Church,church
429,Hollywood-12-30-2,Exercise,workout
430,Hollywood-12-38-2,Gym and community events,"workout, community"
431,Southeast 1-22-44-1,Church,church
432,Hollywood-12-24-2,Community events,community
433,Hollenbeck 1-20-38-2,,
434,BVCB-0-235-2,School,school
435,Harbor-21-157-1,,
436,Harbor-21-158-1,,
437,Hollywood-12-25-2,Community events,community
438,Hollenbeck 1-20-8-3,,
439,Hollenbeck 1-20-94-2,,
440,Foothill-14-292-1,,
441,RPARGR-PP-154-3,Community things,community
442,Harbor-21-156-1,GRYD,gryd
443,Southeast 1-22-34-1,(illegible),
444,Hollenbeck 1-20-93-3,,
445,Hollenbeck 3-20-91-2,,
446,Hollenbeck 3-20-99-2,,
447,Harbor-21-159-1,,
448,77th 3-20-143-1,,
449,Hollenbeck 1-20-72-2,,
450,Foothill-14-390-1,,
451,Pacific-18-231-1,"Counseling, life skills sessions","counseling, life-skills"
452,Pacific-18-232-1,Counseling,counseling
453,Hollenbeck 1-20-97-2,,
